•¶Žš—ñ,Œ‹‰Ê,beatles‚ÌŠm—¦,rolling stones‚ÌŠm—¦
fgffggff,rolling stones,0.0005567080981199999,0.004223928821760001
fgffggfg,beatles,0.00209180781918,0.0010693827072000004
fgffgggf,beatles,0.002008691763232,0.0011883193405440005
fgffgggg,beatles,0.007954984680348002,0.00031357282713600007
fgfgffff,rolling stones,0.00028624655566,0.019155078878976006
fgfgfffg,rolling stones,0.00073439150474,0.004805888365824002
fgfgffgf,rolling stones,0.00048218915114799993,0.004902828122880001
fgfgffgg,beatles,0.001804653697972,0.0012427781644800003
fgfgfgff,rolling stones,0.00036313520042400015,0.005230163152128
fgfgfgfg,rolling stones,0.0013119514746360009,0.0013205565150720003
fgfgfggf,rolling stones,0.0012262521017680002,0.0014226141903360004
fgfgfggg,beatles,0.0048381314486520026,0.0003706924439040001
fgfggfff,rolling stones,0.00035128825585199985,0.006675456092159999
fgfggffg,rolling stones,0.0011538331190280003,0.0016809179903999997
fgfggfgf,rolling stones,0.0010014688112200002,0.0017587868989440002
fgfggfgg,beatles,0.003918399266579999,0.000452414171136
fgfgggff,rolling stones,0.0009441553458640003,0.0021472273052160007
fgfgggfg,beatles,0.003629149940795999,0.000546778746624
fgfggggf,beatles,0.0035408564972640015,0.0006448303065599999
fgfggggg,beatles,0.014065675576396005,0.00017417687936000003
fggfffff,rolling stones,0.00038618697082799986,0.032974307585664
fggffffg,rolling stones,0.0009213081794919998,0.008261327150976
fggfffgf,rolling stones,0.0005387815932599998,0.008360169217152002
fggfffgg,rolling stones,0.00196410604914,0.002107629495168
fggffgff,rolling stones,0.0003574985441360001,0.008671737513600003
fggffgfg,rolling stones,0.0012170882482040004,0.0021813146745600005
fggffggf,rolling stones,0.0010864125755759995,0.002282633215104
fggffggg,beatles,0.004242936736364002,0.0005858581973760001
fggfgfff,rolling stones,0.0002986659139640001,0.009779356328832001
fggfgffg,rolling stones,0.000908009494196,0.0024572828186880005
fggfgfgf,rolling stones,0.0007342472246279998,0.0025337271525120004
fggfgfgg,beatles,0.002837567508691999,0.0006462749518079998
fggfggff,rolling stones,0.0006659364456720002,0.002869951315584
fggfggfg,beatles,0.002506970392508,0.0007274503944959999
fggfgggf,beatles,0.0024130071791360003,0.0008179286027520001
fggfgggg,beatles,0.009550345212204,0.00021689432972800006
fgggffff,rolling stones,0.0003580423808280001,0.014478002231040003
fgggfffg,rolling stones,0.0009550770814920002,0.003631803889920001
fgggffgf,rolling stones,0.0006659281662040002,0.0037026040112640005
fgggffgg,beatles,0.0025014813715560002,0.0009380073884160001
fgggfgff,rolling stones,0.0005346311206480001,0.003956286107136001
fgggfgfg,beatles,0.001947225642972,0.0009985335383040003
fgggfggf,beatles,0.0018327719821199999,0.0010749936614400004
fgggfggg,beatles,0.0072225680411800025,0.00027984812288000014
fggggfff,rolling stones,0.0005303560387800001,0.005252561664384001
fggggffg,beatles,0.0017903401764200004,0.0013218991560960004
fggggfgf,beatles,0.0015942289767080006,0.0013810036811519996
fggggfgg,beatles,0.006242963911812002,0.00035467988492800007
fgggggff,rolling stones,0.0015244906567440002,0.0017046464025599999
fgggggfg,beatles,0.005884090367116001,0.00043362934016
fggggggf,beatles,0.005760775170768001,0.000511782029824
fggggggg,beatles,0.022891866746652,0.00013800394649600002
gfffffff,rolling stones,0.001119884622972,0.03513633056051202
gffffffg,rolling stones,0.0026112401827080006,0.008799191477248003
gfffffgf,rolling stones,0.0014524700923800005,0.008883224138752002
gfffffgg,beatles,0.005297325002820002,0.0022358095329280004
gffffgff,rolling stones,0.0008856899965840002,0.009144935440384
gffffgfg,beatles,0.003001546578876,0.0022977533378560006
gffffggf,beatles,0.002664625278264,0.0023840396984320007
gffffggg,beatles,0.010458012058395999,0.0006090373242880003
gfffgfff,rolling stones,0.0006449373575960005,0.010019584271872002
gfffgffg,rolling stones,0.0019367372166440014,0.002515943684608
gfffgfgf,rolling stones,0.0015384902247719998,0.0025827129687040007
gfffgfgg,beatles,0.0059691965919080004,0.0006570094965760002
gfffggff,rolling stones,0.0013641980022480005,0.0028627362027520004
gfffggfg,beatles,0.005185402163372001,0.0007244677703680002
gfffgggf,beatles,0.005016297533984001,0.0008018715473920002
gfffgggg,beatles,0.01991895896847601,0.00021124080332800006
gffgffff,rolling stones,0.0006316349158520001,0.012882866047744
gffgfffg,rolling stones,0.0016436860770280006,0.003232687165696
gffgffgf,rolling stones,0.0010972233432759997,0.0033003093214720005
gffgffgg,beatles,0.004141637034163999,0.0008370136660479999
gffgfgff,rolling stones,0.0008334992293520003,0.0035260533107200013
gffgfgfg,beatles,0.0030627506060280007,0.00089063534464
gffgfggf,beatles,0.0028953379557200014,0.0009616326115840003
gffgfggg,beatles,0.011471770261580007,0.00025091238169600006
gffggfff,rolling stones,0.0007918114591800002,0.004489271575552
gffggffg,beatles,0.0026842869320200012,0.0011308304711679996
gffggfgf,beatles,0.0023872528347720014,0.0011852344913920003
gffggfgg,beatles,0.009398544613908003,0.00030525076172800003
gffgggff,beatles,0.0022707049726160018,0.0014498156976639996
gffgggfg,beatles,0.008822174852924003,0.0003694552092160001
gffggggf,beatles,0.008662047840432003,0.00043712195507199995
gffggggg,beatles,0.03448535809914802,0.00011830173260800003
gfgfffff,rolling stones,0.0008487952094200003,0.020947269423232006
gfgffffg,rolling stones,0.00201621656938,0.005251128178048001
gfgfffgf,rolling stones,0.0011623983709879997,0.005330692322944001
gfgfffgg,beatles,0.004264913263732001,0.0013468541935360001
gfgffgff,rolling stones,0.0007469134786640006,0.0055793767793920045
gfgffgfg,beatles,0.002577515737996,0.0014056563009280008
gfgffggf,beatles,0.0023236056999280013,0.0014870830731520005
gfgffggg,beatles,0.009135150454892006,0.0003840235943680001
gfgfgfff,rolling stones,0.0005803160228920004,0.006433374039424003
gfgfgffg,beatles,0.0018150196655880007,0.0016184705762560003
gfgfgfgf,rolling stones,0.0015042065185800002,0.0016801994617600003
gfgfgfgg,beatles,0.005860215761619999,0.0004304701216000001
gfgfggff,rolling stones,0.0013713262228239995,0.0019457868248319995
gfgfggfg,beatles,0.005256538530235999,0.0004945222362880001
gfgfgggf,beatles,0.005117276955904,0.000566859470464
gfgfgggg,beatles,0.020337743885356006,0.000151703867776
gfggffff,rolling stones,0.0007116471265560001,0.009664626879232002
gfggfffg,rolling stones,0.001896628808084001,0.0024263338938880006
gfggffgf,rolling stones,0.0013121505513560006,0.002484410374912001
gfggffgg,beatles,0.004966482661284,0.0006312924398080002
gfggfgff,rolling stones,0.001035112629,0.0026860835107840016
gfggfgfg,beatles,0.0038223237774999996,0.0006793186216960004
gfggfggf,beatles,0.0036284755796880002,0.0007412638827520002
gfggfggg,beatles,0.014367572045531997,0.0001943868513280001
gfgggfff,rolling stones,0.0010113015407320002,0.003643997199232
gfgggffg,beatles,0.003460773581348001,0.0009182298522880003
gfgggfgf,beatles,0.0031062317166760008,0.0009658703952640003
gfgggfgg,beatles,0.012222774149763997,0.00024916957657600004
gfggggff,beatles,0.0029723322735120006,0.0012141195166720006
gfggggfg,beatles,0.011549136560267998,0.000309599799808
gfgggggf,beatles,0.01134557076328,0.000370986045952
gfgggggg,beatles,0.045157931787419996,0.00010076709580799994
ggffffff,rolling stones,0.0010457698139640004,0.03382300953702401
ggfffffg,rolling stones,0.002439669964196001,0.008470847650816004
ggffffgf,rolling stones,0.0013628667686840007,0.008554669806592004
ggffffgg,beatles,0.004950875052276004,0.0021536344545280005
ggfffgff,rolling stones,0.0008425263723600008,0.008814568752640004
ggfffgfg,beatles,0.0028289523105400026,0.0022150927283200008
ggfffggf,beatles,0.0024934279543920015,0.002300826955264001
ggfffggg,beatles,0.009746210724588002,0.0005881505244160002
ggffgfff,rolling stones,0.0006417154221880005,0.009674138467072005
ggffgffg,rolling stones,0.0018852556365320007,0.0024293893972480007
ggffgfgf,rolling stones,0.001465937083444,0.002494987977472
ggffgfgg,beatles,0.005653859256915998,0.000634878370048
ggffggff,rolling stones,0.0012910783796880004,0.002770195922944
ggffggfg,beatles,0.004837422473532,0.0007011691663359998
ggffgggf,beatles,0.004635976408479999,0.0007771888721920001
ggffgggg,beatles,0.01834999778622,0.00020487356108800007
ggfgffff,rolling stones,0.0006813390090520003,0.012442973207680003
ggfgfffg,rolling stones,0.0017309897038280007,0.0031220534060800004
ggfgffgf,rolling stones,0.0011199561050200002,0.0031859833258240005
ggfgffgg,beatles,0.004180419439780002,0.0008077778210560002
ggfgfgff,rolling stones,0.0008312461346640001,0.0033999381640959997
ggfgfgfg,beatles,0.002986004043996001,0.000858607164544
ggfgfggf,beatles,0.002779194431464003,0.0009257993132800002
ggfgfggg,beatles,0.010956512495196007,0.00024138558784000006
ggfggfff,rolling stones,0.0008044025727960004,0.004321252006144002
ggfggffg,beatles,0.0026053868974440014,0.0010883331535360005
ggfggfgf,beatles,0.0022337543460520005,0.0011397287441920006
